index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
310,lavrentiya,65.58,-170.99,33.35,92,RU,1542664579,100,20.69
311,niamey,13.52,2.11,82.4,0,NE,1542661200,23,2.68
314,praia,-20.25,-43.81,77,75,BR,1542661200,73,2.24
315,lompoc,34.64,-120.46,66.02,1,US,1542660960,65,5.82
317,longyearbyen,78.22,15.63,26.6,40,NO,1542660600,68,19.46
318,harper,30.3,-99.24,53.96,90,US,1542664260,58,4.7
319,sao gabriel da cachoeira,-0.13,-67.09,83.12,36,BR,1542665023,87,2.68
320,quelimane,-17.88,36.89,71.34,0,MZ,1542664581,94,4.59
321,tsiroanomandidy,-18.77,46.05,61.03,68,MG,1542665023,96,3.91
322,kyle,29.99,-97.88,51.98,90,US,1542664260,63,9.17
323,mackay,53.65,-115.58,44.6,75,CA,1542661200,80,12.75
324,opuwo,-18.06,13.84,76.29,92,NA,1542665024,30,5.48
325,porbandar,21.64,69.61,71.79,0,IN,1542665024,83,5.26
326,ribeira brava,32.65,-17.07,64.4,40,PT,1542663000,63,6.93
327,sajanan,37.06,9.24,60.8,8,TN,1542661200,82,4.7
328,otane,-39.89,176.62,51.62,0,NZ,1542665024,77,2.68
329,wanning,48.64,13.53,33.8,75,AT,1542662400,86,18.34
331,sonoma,38.29,-122.46,69.08,1,US,1542663600,34,9.17
332,kemin,42.79,75.7,-1.75,20,KG,1542665025,46,1.9
333,balkanabat,39.51,54.36,29.98,0,TM,1542665025,77,2.35
334,sinnamary,5.38,-52.96,79.57,92,GF,1542664588,100,8.84
335,devonport,-41.18,146.36,55.77,100,AU,1542665026,90,8.16
336,portland,45.52,-122.67,55.04,1,US,1542660780,46,3.69
337,joshimath,30.57,79.57,1.45,8,IN,1542665026,100,1.01
338,saint-denis,48.94,2.36,39.2,90,FR,1542663000,69,11.41
339,meadow lake,54.13,-108.44,19.4,90,CA,1542661200,92,11.41
340,raudeberg,61.99,5.14,41,8,NO,1542662400,93,6.93
341,athens,34.8,-86.97,55.4,90,US,1542663480,89,9.17
342,lazaro cardenas,28.39,-105.62,71.6,5,MX,1542663600,21,6.93
343,ponta delgada,37.73,-25.67,59,20,PT,1542663000,72,8.05
344,tacuarembo,-31.73,-55.98,73.67,0,UY,1542665027,63,4.36
345,petropavlovsk-kamchatskiy,53.05,158.65,15.8,12,RU,1542663000,85,4.47
346,baraboo,43.47,-89.74,30.74,90,US,1542664380,69,5.82
348,shieli,44.18,66.74,29.12,92,KZ,1542665028,87,3.36
